id,location,title,rated,money
26,TW,å°¤§é£²éåº,4,83
27,TW,é»°´é¤¤¨,4,156
28,TW,é»,2,185
29,TW,ç¥¾²å°åº,3,78
30,TW,±±,5,257
31,TW,³çé£²éåº,4,288
32,TW,æ°é£²éåº,5,204
33,TW,æ­£²é£,3,183
34,TW,ç¦¾¿©ååº,4,216
35,TW,æ°¸ç,4,232
36,TW,é¦¨æé¤,2,126
37,TW,ç¾å°åº,3,253
38,TW,æ±¢¨é¤,1,67
39,TW,·åé¤»³,5,140
40,TW,æ±é£²éåº,1,146
41,TW,æ¬¬£é¤»³,3,246
42,TW,ç¦¾æ£®å¯¦æ¥­ç¤,5,300
43,TW,ç¦±æ¸¯æµ·çåº,1,125
44,TW,éºé£¤¨,1,287
45,TW,ç²¾ç·»ç¾,1,190
46,TW,ç¾ä¼¥­ç¤,1,154
47,TW,¿é©éåº,3,175
48,TW,é¬¼çæ£®æè¼,4,251
49,TW,ç¨»èé¤»³,5,267
50,TW,æ·æ´,2,131